"HolderAddress","Balance","PendingBalanceUpdate"
"0x000000000000000000000000000000000000dead","1.7335587E-11","No"
"0x0000000000002cb29260612e744ec57d9d1fc5c6","779.092574440049","No"
"0x0000000000002d534ff79e9c69e7fcc742f0be83","1E-18","No"
"0x0000000000003f5e74c1ba8a66b48e6f3d71ae82","1E-18","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","0.353634501285208","No"
"0x00000000000080c886232e9b7ebbfb942b5987aa","6251.33535471378","No"
"0x000000000035b5e5ad9019092c665357240f594e","9E-18","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","0.000484498040824274","No"
"0x0000000000d41c96294ccdac8612bdfe29c641af","3E-18","No"
"0x0000000000f4def5f3572c846b1483daf4588d8f","1.6E-17","No"
"0x000000000cf26362d67f65071a034211502c1305","17","No"
"0x000000005736775feb0c8568e7dee77222a26880","1.6E-17","No"
"0x0000000057a888b5dc0a81f02c6f5c3b7d16b183","1E-18","No"
"0x0000000071e801062eb0544403f66176bba42dc0","1E-18","No"
"0x00000000726422a6fecb4759b44d47e48cf746aa","2E-18","No"
"0x00000000751edf02c727ea9d0c1c8e64f169e343","1E-18","No"
"0x0000000099cb7fc48a935bceb9f05bbae54e8987","7E-18","No"
"0x00000000b7ca7e12dcc72290d1fe47b2ef14c607","8E-18","No"
"0x00000000cd47aa64daf64f5144b0d7885754374c","1E-18","No"
"0x00000000e8080db3ed60313725643d38bec42071","1E-18","No"
"0x00000000fea1fab3ce021f3bedd21a94d0ba190c","0.0217572100372706","No"
"0x00000003cd3aa7e760877f03275621d2692f5841","1","No"
"0x000000917de6037d52b1f0a306eecd208405f7cd","1E-18","No"
"0x000000c52b33fa71614810224771dc8f3255b220","5E-18","No"
"0x000006eee6e39015cb523aebdd4d0b1855aba682","519.959310703716","No"
"0x0009af4fc4318de8b959a5e8c0f622e297929417","301.359108460438","No"
"0x000cef8f0ab0a2fadbecaeb92e8781ab3e04b01e","206.061259096251","No"
"0x0011498ade68342362e657a33044e40c4ce9e1f6","170.075918633067","No"
"0x0013d355ab0b7fee64fcd3a53a9227b023536732","659.008544876001","No"
"0x002223b06ea050c61c5f904e00a447fa0205dc2c","1E-06","No"
"0x002282abedffc3463e35a6f5746b446f3b60d67d","1702.65418304451","No"
"0x0022ec3dd352bf214a9d936081f10ffac66455e1","78.0859435456511","No"
"0x0023d9ffe7d793895c5da5833d56c737832ead2b","1000.11659787912","No"
"0x00283245aa1df391a5831dbf47dad9c6613e336c","85.2904288304521","No"
"0x002a2e668bd9fd7d4aa5783bd6dbd4d5017b2e12","0.01","No"
"0x002c310ea1aa9c4ceeb7d4657394a1ad89bacccb","0.01","No"
"0x00333300d0dc87279efd678fd335b47be2fefb2e","0.137590774371909","No"
"0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c","2512.10002760659","No"
"0x0035aeca1e4941c54f911267519983ff16b755c9","135.553771966986","No"
"0x0036534c48a754163f0f446601f36bcfda840f57","81.8803368970097","No"
"0x0036c7af6d7d474b8bb4ada0e9a9b4ff84000ba5","0.889085254496945","No"
