"HolderAddress","Balance","PendingBalanceUpdate"
"0x0000000000000eb4ec62758aae93400b3e5f7f18","0.000238066202500642","No"
"0x0000000000007f150bd6f54c40a34d7c3d5e9f56","0.039111935641177","No"
"0x0000000000051666bbfbb42925c3ee5d50cf6b10","0.000476407757855075","No"
"0x00000000003b3cc22af3ae1eac0440bcee416b40","1E-18","No"
"0x0000000033431f236e97fa549b367827360effd7","1E-18","No"
"0x0000000094acb89a43eac2fbb3a07973efc2435c","3.18E-15","No"
"0x00000000b2ff98680adaf8a3e382176bbfc34c8f","5.5917137E-11","No"
"0x000158e60c393b51fdfac71b14ce70b70148c326","0.0223380730815296","No"
"0x000220c19c55da0517c3a5ed70126a44769ab367","0.633075411793425","No"
"0x001098febf4e26d8d08e54655c0dcab607072df4","0.0114138529133221","No"
"0x00209290bb6c130e693ada214059043a2c5c9f2a","0.01894538","No"
"0x0023f0b9200be4a85317aa7fd9f761a801700890","0.04058994","No"
"0x0034daf2e65f6ef82bc6f893dbbfd7c232a0e59c","84.8378988469961","No"
"0x003548950d65358c6be2e4b3a0cbefc7bc9481b1","0.0483624030482696","No"
"0x0036856ce51bf32a437db528892bc9e4360fcd80","0.04698811","No"
"0x00413a5f278d802f286f385c8b58f60191284f3a","0.01047407","No"
"0x00513d2660973157a0c35cebbe6be202010a366b","0.04377348","No"
"0x005255c834b9367e76f714f4930fe7775336eb57","0.0764938601539486","No"
"0x005b9cc4c67fe993c3e7d8e5387f1e687b52af9a","8.82382768332068","No"
"0x006d0f31a00e1f9c017ab039e9d0ba699433a28c","5.2690838369479","No"
"0x0074ca29c4aab083061bf78d9c66cac8548f6cd4","0.0574922638440453","No"
"0x00778a211057c47a9f8885750bbf48226771bcdc","3.47137190699897","No"
"0x007a1b628e9856475c9b337be621f5448a1dbf6a","0.03468398","No"
"0x007d1a1523d3a8b55efbb00ee071dedc9de63b04","0.06071116","No"
"0x0084097e1ddee3aea0c6fbc8d381577ab6a5f0b0","0.01768062","No"
"0x008bf5ef7e1b1170f0f7471b93f62b5cac55316f","0.530132068037355","No"
"0x00a4278b7cb3de51fed973c5062ea3c06fdf45e9","0.03805526","No"
"0x00ac270072efbdc76d4bfcf9c7f84b0d5643f66a","0.158960615300867","No"
"0x00b5c989745634d8f9f1fcd1aeb0eeda61aa1811","0.00713978","No"
"0x00b9f3916c31c48580714359348e3435fd8dbf8e","27.7587660776009","No"
"0x00ba1e8b33c98483ac6209bdf426ba7588a0ba6d","0.04074988","No"
"0x00be205f320dd5f3c43e4315b76397bbc330a262","0.1654628","No"
"0x00c28daac3c4e1fa546ed091fcd81aba6532d5fa","0.04852746","No"
"0x00c5c65d60c931f280d82cf0f3df778dea49af0d","0.01494551","No"
"0x00d6d8b6a91979cd274fe01ff1b47b048bc94a6b","4.57595780436902","No"
"0x00dbb059789974daa41215b5aff014857c8165ab","0.04949106","No"
"0x00ddd913f6433a3f77b34909fdd65ed960a8959d","0.00927597145977953","No"
"0x00efa53976da6b4e0534803b57e97d19cc3e675a","0.452079792913653","No"
"0x00f8878d40dca0281660e6bd9a320cac9c32ae56","0.02603282","No"
"0x00fa7c907646a1a94e293d38e2a876962f14f8b2","0.993677172441543","No"
"0x010b0d82cb1f8084c4357415fbe0d20a561dcde5","1.0510140158898","No"
"0x013549d9f06c4f7b953ddee2ca015b8d832ca4cc","0.0104974218077988","No"
"0x013f0bc2b50373e02246a997f4c2cbdc869eea40","0.01536464","No"
"0x01aeabb0e0fed1b735da0083ea86dfa7306d7076","18.6226253949061","No"
"0x01c6248a9f95d59b4a30a2408f94d6e682094622","29.0310691290694","No"
"0x01c7b3b2be439441e3cc8644b64b664d5e4e997f","0.0647501077666232","No"
"0x01da5533092cf0938add71f6decce5f77e46147d","0.198105843392827","No"
"0x01e4db0adb7886ae360f8adfe752b0eca6637396","0.02521365","No"
"0x01e90debab5382f18386686fd1ec9bf6c251fb64","0.00025594944683192","No"
"0x01ee1e7f169b683976423e23dd9f7f87b428c924","0.000427040889197716","No"
"0x01f4d7741c7b33a6438c31fdcb14ea694784f8b8","0.03153889","No"
"0x01f5b429c6437015dbea452c98b1b9b1472972e7","0.00917568","No"
"0x01f8c8dc865df99656a2808947798205e8204941","0.00958224","No"
"0x01fb2c68375ae4947da6a0f5d0e27eec90bb8990","250","No"
"0x024e4fb5632cd32499ce60fe5d892f202e1840c6","0.0297231966816515","No"
"0x025753bd7f8dfce7cc21913ad4076d23500f2d6b","0.01040065","No"
"0x0269ec7777c441e61b38d0c2a90ff9076f696a74","0.05706916","No"
"0x026e6c7161c88d603708f6e4ca226e6d94bd04cb","1.7730275514352","No"
"0x027b671b96abd3f0fb0111b4ef8562e0331ed4b6","0.03622944","No"
"0x027bf7da0a485b5a62286351d17801a78dceff56","0.01297405","No"
"0x027fc66f045171e2670d5a5743ffeb55e8070524","0.230876944700807","No"
"0x028bf0e4d1c856d45df77b135e5083e46fe99678","0.54570807653322","No"
"0x028ec5ddd958453eecf1b43ff9e20acc7eae21b9","0.05613314","No"
"0x028f4016d6d47dafa30d0edaace3d7f1f54a13c6","0.549534150470689","No"
"0x0297225c54372f1ca687be9f1debe43d80ff7887","0.00459612989136525","No"
"0x02aa0b826c7ba6386ddbe04c0a8715a1c0a16b24","7.63197432595388","No"
"0x02b79ed1fb8cd0514fe20fbc23514a3896913054","0.00710122","No"
"0x02e7c6759da801d6002a84a948b9256643bcaa23","0.26850795","No"
"0x02f7c53997270e8cd9348a410e5436bedaadca0d","0.02610407","No"
"0x030aaa778aab61772995c92a733ef5a108810b08","0.03116651","No"
"0x0329942c019256851a9b11a8278e1863c6997023","0.00524859697967941","No"
"0x033891adf70d93d1ac1b1bb76f91366db992c72a","0.03760381","No"
"0x033ef3d4aae08f8ff2a88f9ba1261dedec78877e","0.0922252","No"
"0x0345518a9e370364029c70ce0d7f9df79fbf832c","1.92936774938165","No"
"0x034a5f8678455ea078021e7a5b34ab7ef210674e","2354.47","No"
"0x034d1049777febe2f8c8f9f8fddfa5659287e7da","0.02013422","No"
"0x0353b3a2adafa80d182ce41fb95aeb856cf81435","0.03857003","No"
"0x035bf17c40dc70447ab668ef4b4340010de415b1","0.71477174411881","No"
"0x0373724757768133f6beb9fc81081a121c43f5c6","0.02672989","No"
"0x0396816a361e2353a91fde8438600a9353b34ce7","0.04797531","No"
"0x039e4a6d9633fa330918b1e6dc8183085c9e9b1e","2.5063627595509E-05","No"
"0x03abe70433ff18a9b4ba18d9f2c1c91cbb40ba25","0.02839213","No"
"0x03c95a630ec76525e9e36775dd15a8bb35d82229","0.03197585","No"
"0x03d15ec11110dda27df907e12e7ac996841d95e4","0.0921338206579338","No"
"0x03f0256ee0a9efc25ae27cd5ab77d2c25fa5e510","0.05468452","No"
"0x03f410ebc9510e8ab915afb8345860e87e01da47","1.9408785623104E-05","No"
"0x0408d5a27a19dbc4d7f0e2a1fd19828761c0fd4c","0.02576271","No"
"0x04107437ff922c7274d61a5fa8003335fcd8c6f2","0.09730852","No"
"0x041e9a216adf44eccacb107639c3b3ace9d1a7f6","0.01135841","No"
"0x042509a0391cd37c45f4e2434f23c225f66cd6ee","0.00803455","No"
"0x0426f43400c5c4df23f0514a9448347e4135a2d5","0.0203500071038483","No"
"0x042cfafc229686189895d7a0e2d7c253601d96c5","0.05235774","No"
"0x0459560393f91e13755c0aff82564daf199dca64","0.24750937593423","No"
"0x0459b3fbf7c1840ee03a63ca4aa95de48322322e","0.0394218897509007","No"
"0x045cd46ec6ecaf7ae343d3741f4068f63ffa49ff","0.04342537","No"
"0x0477c26b0815d34d3e9131cc83d86d511cf487ee","0.02475403","No"
"0x047f490f6d34b99b15cae9bcd187c03290519d53","0.02805845","No"
"0x0489076a0d17394835af93cd62acff703b6814a9","1184.09870173502","No"
"0x048d0349ece9598afe48310b9747c395e4387007","0.0383576","No"
"0x0496c02f3d8eadbc5558913ef6dc5fff59077df0","0.04114786","No"
"0x04a3b17cfbeef344127e78ad082fecb36ad76d64","0.670205460318765","No"
"0x04a46a5901c13dfd53799130e7535542d4700c87","1.97534344868287","No"
"0x04b4769ebe8fe0e8f5fe48c5c4568d63d059dafa","0.019155","No"
"0x04b5b54824b060f8f155c88feb02e9dd4f089ecc","0.528448068848824","No"
"0x04c547f4c0e0a1affc48479bd3b65700d1c606d7","0.000369674851183302","No"
"0x04c5da258096de3adbec1bfecdd431cfdb194b2f","0.01332457","No"
"0x04d15edf9eecc9f349a1022a8deede4081f00893","0.01114588","No"
"0x04d599b0a02d43999a895e5b42f710baea9669bb","0.03434969","No"
"0x04f51ccb4d8f38045df03df55a57bc33c89ecc96","1.70182161272283","No"
"0x05054d7ac4bef8d0306f13e3f867e026ea92dc50","0.0112993","No"
"0x052f1b8dc8a22028aac4034d65cb7e6878e7cff3","0.202974774843552","No"
"0x053d0950536f9c54ca8c5b4fb1ec9caa1a0e3030","15.4137025972691","No"
"0x05455f2d9f05c4233f4ec139f1c32f8d1fb3dac1","0.06041181","No"
"0x0550bed1c94afbd468aa739852632d7e9b4c2f86","6.8470044565","No"
"0x0564af26fd1238cdf11b2d3367997950d482ca79","0.08576227","No"
"0x056590f16d5b314a132bbcfb1283fec5d5c6e670","0.685618135730039","No"
"0x05a50a7efcba11c35dafb998989504f8d85d1533","0.01826864","No"
"0x05a895aae457998b74b6a000003478b465bf9741","0.01177835","No"
"0x05c7c5326428a244f9d8a0ba82ce45bddb287dae","0.03484933","No"
"0x05f5471afc2822d6a8a72bffeb8d809518e87e7c","0.238041486735052","No"
"0x05f8fa4430a899dbdb3aef05f436a613d2f2a6b3","7.13804245118214","No"
"0x05f95b90362c0e6a61b1b2eeff829aca82ed7751","0.0174442","No"
"0x061de24dc59a974b14f8c8ab400a88fa62eb9083","2.89960605963265","No"
"0x06218f8455f822e969bce846caf151e8a2a22dea","1.15057833514099","No"
"0x0629d9de6f7b40565d7249eff6ee883349fe297a","0.03612482","No"
"0x062c54b8153a5f11d518fb0db96e5981a594d53a","0.00737649","No"
"0x0638a061f564e4db6fae45fe64070fb7ad51c1fa","0.01751836","No"
"0x064134f9469bc8bfd5fb7e7750161e8862e0a795","35.1350920950639","No"
"0x064851e6a4f77843e899c8284aedb00c810c5791","0.05180337","No"
"0x0649146c775e9049f084c2576132339cd04645a6","0.0105905","No"
"0x0654f72efe6d07e0b7f4754e010a7b7a6d115570","0.02960267","No"
"0x066f3af527ca9befc4dcb03d5e740eea31840c5b","0.02177553","No"
"0x067a21a8363bc139c4251b906de8169a8ad3471c","0.01243346","No"
"0x068be521404f84db5fa862132712feb3a9a7f635","0.500122286489318","No"
"0x068f7853ce4dcffee6dde6e8bfeb9e4adf2aa4d7","0.02187528","No"
"0x069565f71f93ffefc1cb720b11d7b3d410d5ee8c","0.973523304491581","No"
"0x0695b023c7049cd1e6d23df5d579b68ca95d08a5","0.00943435","No"
"0x06a52a3147a71321c5918f43749b810e074b6e8f","3","No"
"0x06afc57bdafa44d4e5cf8c17b55e141c100700a0","0.03979338","No"
"0x06b1f8f06c4296077ddf1effdc8126f0a3550cf6","0.03431722","No"
"0x06d2a8937c61ab0c1ba727a356e60f21c6084c0c","0.00833399","No"
"0x06db1a831e76331fbfb17a89d850edf98315cb45","0.585254540205398","No"
"0x06ea798a01618bac0352b3df89d936d202b784ba","0.00775643","No"
"0x06f073332d162c9f35f0854856f8829f6ac4bbd5","0.03665596","No"
"0x070796e6cf3882dee6afb6341013b8846798b6ac","0.03354413","No"
"0x070c0c3c4dd0c351bb435d88dcec551f80b977ec","0.05405621","No"
"0x070c132c58cef9ffb762cfdd2132043b7c558717","1.40657259834707","No"
"0x07143165741ed33af84b65b9df5ef96c66a554c1","0.03912149345639","No"
"0x071b8bc181ae7cb03f5faece9b5b8b25be9b0982","85.1269397559867","No"
"0x071bca211d8143438d6656511523ba435ae6b368","0.05697721","No"
"0x07585792b2f10025e294bdbcc807065bb15d64be","0.02031907","No"
"0x076d23fe584672fd65b0f647bec69b517b2b435a","0.02496118","No"
"0x07706d109ba1377d37a0cefe0db0c2a87d480d00","0.01239323","No"
"0x0778bcd98f08fef095e7eb5cd8dc8ed01f617adf","0.02412947","No"
"0x0786942435f5aab8f06c17a2bda96d2cd96790df","0.0523702","No"
"0x079158beca3c0ee6ae44b43357c6317e339ddc69","5.82151339273065","No"
"0x079dbfe1af463087310069933fbc874d28cf7eb6","0.01215231","No"
"0x07a3acc377e3d0d007668a0f990d6b9129a377fd","0.109386984685031","No"
"0x07a9acac89a4a63fda53d9c6904c478e2a973b07","0.163469276932137","No"
"0x07aa837b4de4514a29fd01922c1bcff932222d4a","0.01140495","No"
"0x07b92243153c0b29f89abf3b512535641d112acb","0.0709814338143334","No"
"0x07beba91bf7170cb3afbaab4921320b6721dee83","0.011039","No"
"0x07c4b163a302b0fac1c616bf9e845e6492b13f69","0.00731641","No"
"0x07eb1f8481b14c7d640e831ec7345b6c51460177","0.00721289","No"
"0x07fd485f3cc18fbc25b4eedbe646e26f8c287a38","0.01436713","No"
"0x080186a5112bebe1eb289082ec53601ce2f38af9","0.01842358","No"
"0x0808246885110126af85fa04ec7dfe7715070ddf","0.0308708361609781","No"
"0x0830ac9dca48af64141f60f1fde58e196cda7eb8","0.150885595116398","No"
"0x08319efef08116cecd8378482e523ecc60fc0515","0.06189957","No"
"0x083737f44795803098f775130bedea07561f244f","0.01427285","No"
"0x08438ed71083fb9e7887f4d9e7d0b39fb3620900","0.210621106802323","No"
"0x085829dc0d1c2af6b8debebb1683e6c25bfdec5d","0.00911293","No"
"0x0860a74847ec4f3e1dc0cfbab41013eb90f69654","4.3522809056323E-05","No"
"0x088468ee9c9dd9f5db8e9de63d41c79fbde89d40","3.40985791061298","No"
"0x08a30fe5cde74f0c5f255c48df0a67400e7c5ac9","87.8366993495898","No"
"0x08a99d315a9d4dbe13703094e9df2f1677beb0b5","0.113714598987128","No"
"0x08aa65118996eaa61372b65978cfa684f2c749b2","0.199400100451213","No"
"0x08ac9c15aaf98563a4b19ddbd0153ff3516d65a8","0.152934693413338","No"
"0x08b05d01c6d6abb0a26a933086c6a77f28c39f5d","0.03868109","No"
"0x08bc8fbbf6ca71e977d8f294a5ed149196d34a33","0.165847924231292","No"
"0x08c22c1195364b64cf46f3f3228c742be7cd56e3","0.000234598091062264","No"
"0x08c670c36c3fad18a90d198e01e48d688f77029c","0.01246612","No"
"0x08d00024c42767107fa3d1673259eb9990a6483b","20","No"
"0x08d305a1be7ded60f1ee90cde0e10c805419d1c9","0.04191683","No"
"0x08dcd407b81023af3bb175fe68e2acc7d8c0c996","0.000485068659188854","No"
"0x08f7def19876a7a63803b6aaec9ac42342853276","0.03639769","No"
"0x08f81a2f63a16b3564309b68b53ac99a1972cedc","0.05415755","No"
"0x08fefe77fd2c6d4dc4bbb9460a88d7a5c5b4e47d","7.89674822618208","No"
"0x08fff10082e14b99f14a09442f07d0b8e0545ffe","0.02022698","No"
"0x09061d3475b4eba065d93dd3d9cbd1c0d1a1369f","0.00971529","No"
"0x0911fce474c45970417054e4af1c84f6c916fb46","0.00750738","No"
"0x0925234f70e87b8d2cff0f52e6d30b546da946bf","0.04329247","No"
"0x092d1a8c77f5eb3aec70c29a4c68c76e2955ed5e","6.7232297159E-08","No"
"0x09337f2db0f56f24835f3157bf241886d6f45e19","0.0235270157761087","No"
"0x093e5489bbb1ecf529dd3ffc9ea4ebf0393e232d","0.15119627","No"
"0x09482d9d4797808d0789670f7bdea23caf7f3dfe","0.51763455275264","No"
"0x094fb60f1d549dbd0aa762076c1c96ee0970b1a5","0.00861455","No"
"0x09687ae7d3260d5c15fb0bdfaa08600a58aee99f","6.92505021092332","No"
"0x09acac69f8b84290c012b6b0b002a2f26a936c7f","0.0197480131155833","No"
"0x09b0b17820f64a3e0e01cb443cd6f679c2adb307","0.05725903","No"
"0x09cf915e195af33fa7b932c253352ae9fbdb0106","0.958043258524223","No"
"0x09e8a60fa9a4eeecfe2f4ec2d08dda56307d48c9","0.14712235","No"
"0x0a077277b65f06146020e6e152592810f9dee4ea","0.00720561","No"
"0x0a227321612be157f215f48ffccd553e5f5e7e73","0.05366128","No"
"0x0a2b4d91eb17421bfd5aa255a6c5b209058c482c","0.020494050143997","No"
"0x0a2c96666d18abff4732a29c5f152903dfa7e159","0.00817442","No"
"0x0a31606914882d89996b0d68571962ba4f4e373f","0.04451159","No"
"0x0a4d65bf6a6efb21308605904f55b8f23b83054c","0.282278789985244","No"
"0x0a57b7b7dea43b41ad605614e8169631d2ebc63e","18.0269215959101","No"
"0x0a67fdae0ef94edd49cae34025d476175b9c6edd","0.02650495","No"
"0x0a8e351d36930cc693b1748e5373bdf0ff91c9be","0.01618941","No"
"0x0a9958c2c901f97d23ef41980a2a9a4eb5d9c122","51.51245675725","No"
"0x0aadfa90622af8ce4c2909fa31e5b6daa1d9cb8b","0.0499676726273095","No"
"0x0ab1ef336b8626bc99efb0bdc6918d306da9b5ac","0.0580034945948354","No"
"0x0ab24cab9988ff6e8479a7cb9c3c6b2a71d00e11","0.03823897","No"
"0x0ac2af90eb5ab7ec9901e81500f3045d4273e68e","0.144720226563069","No"
"0x0ae858868f6235cfa1217e0333c8819a112597ff","0.00708146","No"
"0x0af9b3a552578d014dc60bbd2924731d664649e4","0.01960507","No"
"0x0b00d073c0afb17a7311bb469c1a7d9357744c31","0.0132849863981936","No"
"0x0b13f13c0e99f24b96a835b787d1347b33d87776","0.191301189616998","No"
"0x0b169e800309ff435e95330c877696a6e17af581","0.091469766985862","No"
"0x0b1be3017eced1f2f9c44ff63c637939c052dfbe","0.03630276","No"
"0x0b2be7c4bdaaa430467820a5a9e45b8fce03d187","1.6950856741537","No"
"0x0b2df028c26ba1f58e6ea282b2a1d515d99ae282","2.81008442922576","No"
"0x0b333b13bc0d678bfec8864b7666f366397df84a","0.694775051826059","No"
"0x0b3820f9e8252f9b5b4f8d804b017ce9464446c1","0.00930048004149173","No"
"0x0b3eeae6a147cabd10a3bb2cfed2941a526f742b","0.0588496026381089","No"
"0x0b44335aa5b0d5e4df85d4abf81683f892310a5c","12.0858096397701","No"
"0x0b449e1ffa6e569dd63e28b80afdb524782d6f8f","0.01208658","No"
"0x0b4c047a070e6aa17296652a63549c08d2af71a4","0.0187138","No"
"0x0b507c9ea0857a0a93d178583f57a2acb24701ca","0.03333754","No"
"0x0b5643942009edc494b6047ea57822d8dbcd559b","0.028485","No"
"0x0b5ee07b54b31c493f9cecda5cfd8cb3242f9dcb","0.06705957","No"
"0x0b66f32c814c591915227b6633d7445758051c06","0.02323546","No"
"0x0b7953264472c74a2acc64f08a91f4478e7d9f92","0.468285287796294","No"
"0x0b7d7583b102523f803709b8c2bc864a49f6c7df","0.15403058730897","No"
"0x0b8084b41585efa5aedf86ea6b7895db17d4497e","0.000487980515567482","No"
"0x0b8bb9b7f0c149d32fc582455b38c31c59eb82af","0.01491405","No"
"0x0ba3a6cc98013a0b43feaaefe1e80eb22c5b12f4","0.0629514285854169","No"
"0x0bae7d98e1d67741bfcba5d90b17a9856b1bf82e","0.48560002609426","No"
"0x0baed75963301d7664768f701621065cbc59a718","0.00734755","No"
"0x0bb8d4e9b3c1c2d5330d09a2ba9ee6d3b7af632c","0.0221521","No"
"0x0be5149120375a4b5ba59352d55173c9b0283c3d","0.234311396223061","No"
"0x0be7f160fb6100a9112eeed68ae23829260cf8e5","0.07293201488506","No"
"0x0be93c61df823779e7cc50d1430f6e0c44b14fe3","10.5425823369466","No"
"0x0bf434a8114b9aa1c0cd26dba2b1608e3d96d5f5","0.01719268","No"
"0x0bf52bd5d9fbd7d5d57eb34c5d0c451a8e3807f9","0.00118841909603631","No"
"0x0c124a0b302f06072ddc1fe1ce991578ecb248d6","0.000498259390284549","No"
"0x0c1843f902d81c35d9af007d660d427b417ce8a8","0.01036158","No"
"0x0c29e505faf05d1e48021b083ea1a64bb18cb3e5","10.0647937611056","No"
"0x0c348522ddcec96b6deaf70549efc2bfd26ac480","0.00992793","No"
"0x0c51fdb6d4c724a05cfa776a3a8f0a6087d8d156","0.147716616421271","No"
"0x0c67fba277a3fe1b0a792ef5bc798cbbda15a7f5","0.246708967009852","No"
"0x0c6ac3fcea667fd6c62483ce1dbbce6f6ce0fb1f","0.00485896287961621","No"
"0x0c6da1a80f9567bb0258da2a2f46817e4dd03152","0.927360559797195","No"
"0x0c6f93c08da36caae1ab192d08e701314f339277","0.01896885","No"
"0x0c78db54557d4467830d2bbbf10af58e9661c1e0","0.02432322","No"
"0x0c7b21c00bbfc8dc9233378155ba91ddc5c637ef","0.01567308","No"
